Id,Выходные данные,Тем. Отдел,Автор,Другие авторы,Заглавие,Год,Иллюстратор,Иллюстрации,Стр.,Место издания,Издательство,Переиздания,Примечания
11.0,"Макарова С.М., Александр I-й Благословенный : [Биогр. очерк] / [С.М.]. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1881. - 32 с., 1 л. фронт. (портр.), 1 л. ил. ; 23 см. - (Народные чтения)",Биография,"Макарова, София Марковна (1834-1887)",,Александр I-й Благословенный : Биогр. очерк,1881.0,,1 ил. портрет,32 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,Авт. указан в конце текста; раскрыт по изд. Н.Н. Голицын. Биогр. словарь русских писательниц
12.0,"Пушкин А. С., ... Бахчисарайский фонтан : (Для нар. чтений) / А.С. Пушкин; (Под ред. Вс.С. Соловьева). - Юбил. изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 26 с., 1 л. фронт. (портр.) ; 18 см. - (Народные чтения)",Беллетристика,"Пушкин, Александр Сергеевич (1799-1837) ","Редактор - Соловьев, Всеволод Сергеевич (писатель, 1849 -1903)",Бахчисарайский фонтан,1899.0,"Иллюстратор - Каразин, Николай Николаевич (1842-1908); Кипренский, Орест Адамович (1783-1836) ",1 ил. портрет,26 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,Юбилейное изд.,"Обл.: Н. Каразин. Портр. типа Кипренского, грав. на дер."
13.0,"Кулибина О.К., Жизнь Ивана Петровича Кулибина : Излож. Ольгой Кулибиной. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 35 с. ; 18 см",Биография,"Кулибина, Ольга Константиновна",,Жизнь Ивана Петровича Кулибина : Излож. Ольгой Кулибиной,1899.0,,,35 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл. авт. не указан
14.0,"Толстой Л. Н., Хозяин и работник : Рассказ : (Приспособлен для нар. чтений) : С портр. и рис / Гр. Л.Н. Толстой. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1911. - 64 с. : портр. ; 18 см",Беллетристика,"Толстой, Лев Николаевич (1828-1910) ",,Хозяин и работник : Рассказ,1911.0,,1 ил. портрет,64 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,На обл.: № 211
15.0,"Жуковский В. А., Сказка о Иване царевиче и сером волке / Соч. В.А. Жуковского. - Санкт-Петербург : Изд. о-во при Постоян. комис. нар. чтений, 1885. - [2], 42 с. : ил. ; 22 см",Беллетристика,"Жуковский, Василий Андреевич (поэт , 1783-1852) ",,Сказка о Иване царевиче и сером волке,1885.0,,ил. ,"[2], 42 с.",Санкт-Петербург ," Изд. о-во при Постоян. комис. нар. чтений, ",,
16.0,"Святыни Чернигова / Под ред. прот. И.Г. Покровского. - Санкт-Петербург : Постоян. комис. нар. чтений, 1900. - 28 с. ; 18 см. - (Народные чтения)",Духовное просвещение,,Редактор - прот. Покровский И.Г.,Святыни Чернигова,1900.0,,,28 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
17.0,"Гориневский В.В., О холере : Нар. чтение : С 5 рис / [Соч.] Д-ра В.В. Гориневского. - 18-24 тыс. - Санкт-Петербург : Постоян. комис. нар. чтений, 1905. - 48 с. : ил. ; 18 см",Медицина,"Гориневский, Валентин Владиславович (1857-1937)",,О холере,1905.0,,5 ил. ,48 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,18-24 тыс.,
18.0,"Ососов А.В., О налогах : [Рассказ] / Сост. А.В. Ососов. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1907. - 76 с. ; 19 см",Беллетристика,"Ососов, Андрей Васильевич",,О налогах : Рассказ,1907.0,,,76 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,
19.0,"О Франции и французах : [Крат. ист.-геогр. очерк]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1898. - 96 с. ; 19 см",География и путешествия,,,О Франции и французах : Крат. ист.-геогр. очерк,1898.0,,,96 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
20.0,"Беседа о Пастере. - 2-е изд. - Санкт-Петербург : На средства Изд. о-ва при Постоян. комис. нар. чтений, 1912. - 32 с. : ил., портр. ; 18 см",Духовное просвещение,,,Беседа о Пастере,1912.0,,1 ил. портрет,32 с.,Санкт-Петербург ,На средства Изд. о-ва при Постоян. комис. нар. чтений,2-е изд.,На обл. номер изд.: № 119
21.0,"Хрущов И.П., Богомольцы у святынь Киева, Лавра. - 5-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1897. - 68 с., 1 л. ил. ; 16 см. - (Народные чтения)",Духовное просвещение,"Хрущов, Иван Петрович (1841-1904)","Соавтор - Хрущова, Вера","Богомольцы у святынь Киева, Лавра",1897.0,,1 ил.,68 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,5-е изд.,Авт. установлен по 4-му изд. кн.
22.0,"Крайний Север и его просветители. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1902. - 31 с. ; 18 см. - (Народные чтения)",География и путешествия,,,Крайний Север и его просветители,1902.0,,,31 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
23.0,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1893. - 36 с., 1 л. портр",Духовное просвещение,,,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова",1893.0,,,36 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,
24.0,"Опатович С.И., Уничижение на земле господа нашего Иисуса Христа / [Смоленско-кладбищенской церкви свящ. Стефан Опатович]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1873. - 21 с., 5 с. ил. ; 21 см",Духовное просвещение,"Опатович, Стефан Иванович (1831-1892)",,Уничижение на земле господа нашего Иисуса Христа,1873.0,,5 ил.,21 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,В 1 изд. на обл.: Народные чтения
25.0,"О Лондоне и об англичанах. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1892. - 51 с. ; 18 см",География и путешествия,,,О Лондоне и об англичанах,1892.0,,,51 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
26.0,"Клеопина В.И., Так что никак невозможно : Рассказ из воен. жизни / Сост. В.И. Клеопина. - Петроград : Постоян. комис. нар. чтений, 1915. - 27 с. ; 18 см",Беллетристика,"Клеопина, Варвара Ивановна",,Так что никак невозможно : Рассказ из воен. жизни,1915.0,,,27 с.,Петроград,Постоян. комис. нар. чтений ,,На обл.: № 306
27.0,"Тулинов Н.Н., Венгрия и венгры : [Очерк] / Сост. Н. Тулинов; Под ред. А.Ф. Соколова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1900. - 41 с. ; 19 см. - (Народные чтения)",География и путешествия,"Тулинов, Николай Николаевич (1871-1915)","Редактор - Соколов А.Ф., Составитель - Тулинов Н.Н.",Венгрия и венгры : Очерк,1900.0,,,41 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл. авт. не указан
28.0,"Сеткова А.П., На Смоленской дороге : Рассказ из войны 1812 г / [Соч.] А.П. Сетковой (Катенкамп). - 6-е изд. - Санкт-Петербург : изд. о-во Постоян. комис. по устройству нар. чтений, 1905. - 128 с. : ил. ; 24 см",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,На Смоленской дороге : Рассказ из войны 1812 г,1905.0,,ил. ,128 с.,Санкт-Петербург ," изд. о-во Постоян. комис. по устройству нар. чтений, ",6-е изд.,На тит. л. номер изд.: № 188
29.0,"Платонова А.Ф., Церковные обряды и их значение для православного христианина / Сост. А.Ф. Платонова; Под ред. протопресвитера А.А. Дернова. - Петроград : Постоян. комис. нар. чтений, 1916. - 28 с. : ил",Духовное просвещение,"Платонова, Александра Федоровна",Редактор - протопресвитер Дернов А.А.,Церковные обряды и их значение для православного христианина,1916.0,,,28 с.,Петроград,Постоян. комис. нар. чтений ,,На обл.: № 312
30.0,"Морское дело прежде и теперь / Под ред. Н.А. Майкова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1902. - 39 с. ; 18 см. - (Народные чтения)",Общественное устройство,,Редактор - Майков Н.А.,Морское дело прежде и теперь,1902.0,,,39 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
31.0,"Максимов С. В., Соловецкий монастырь / [Соч.] С. Максимова. - 3-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1884. - 26 с., 8 л. ил. - (Народные чтения . Святые места Русской земли)",Духовное просвещение,"Максимов, Сергей Васильевич (писатель , 1831-1901) ",,Соловецкий монастырь,1884.0,,,26 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,3-е изд.,
32.0,"Два чтения о театре / Под ред. Вс.С. Соловьева. - Санкт-Петербург : Постоян. комис. нар. чтений, 1901. - 64 с. ; 19 см. - (Народные чтения)",Общественное устройство,,Редактор - Соловьев Вс. С.,Два чтения о театре,1901.0,,,64 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,Загл. обл.: О театре
33.0,"Значение А.С. Пушкина и его произведений: : Юбилейное изд / Под ред. Вс.С. Соловьева. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 34 с., 1 л. фронт. (портр.) ; 19 см. - (Народные чтения)",Биография лит,"Пушкин, Александр Сергеевич (1799-1837) ",Редактор - Соловьев Вс. С.,Значение А.С. Пушкина и его произведений: : Юбилейное изд,1899.0,,1 ил. портрет,34 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
34.0,"Житие святителя Филиппа, митрополита Московского : Разрешено для чтения в аудиториях ""Постоян. комис. нар. чтений"". - Москва : Тип. Т-ва И.Д. Сытина, 1898. - 36 с. ; 17 см",Духовное просвещение,,,"Житие святителя Филиппа, митрополита Московского : Разрешено для чтения в аудиториях ""Постоян. комис. нар. чтений""",1898.0,,,36 с.,Москва,Постоян. комис. нар. чтений ,,На тит. л.: Изд. В.И. № 22
35.0,"Майков А. Н., Иван Третий Васильевич / [Соч.] А.Н. Майкова. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1885. - 43, [4] с., 1 л. ил. ; 18 см",Биография,"Майков, Аполлон Николаевич (1821-1897) ",,Иван Третий Васильевич,1885.0,,1 ил.,"43, [4] с.",Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
36.0,"Сеткова А.П., Архангельские китоловы : Повесть А. Сетковой (Катенкамп). - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, на средства Изд. о-ва, 1885. - 105 с. : ил. ; 17 см",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Архангельские китоловы : Повесть,1885.0,,ил. ,105 с.,Санкт-Петербург ," Постоян. комис. нар. чтений, на средства Изд. о-ва, ",2-е изд.,
37.0,"Четыркин Ф.В., Святый Василий Великий / Сост. Ф. Четыркин. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1898. - 32 с., 1 л. ил. ; 18 см. - (Народные чтения)",Духовное просвещение,"Четыркин, Федор Васильевич (1840-1904)",,Святый Василий Великий,1898.0,,1 ил.,32 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,На обл. авт. не указан
38.0,"Четыркин Ф.В., Святый Митрофан Воронежский / Сост. Ф. Четыркин. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений и состоящее при ней изд. о-во, 1899. - 26 с., 1 л. фронт. (ил.) ; 19 см",Духовное просвещение,"Четыркин, Федор Васильевич (1840-1904)",,Святый Митрофан Воронежский,1899.0,,1 ил.,26 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений и состоящее при ней изд. о-во ,3-е изд.,
39.0,"Рождественский С.Е., О Суворове : Чтение для народа / [Соч.] С. Рождественского. - 8-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1903. - 44 с. : портр. ; 21 см",Биография,"Рождественский, Сергей Егорович (1834-1891)",,О Суворове,1903.0,,1 ил. портрет,44 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,8-е изд.,
40.0,"Бахтиаров А.А., Как делают бумагу и как печатают книги / Сост. А. Бахтиаров; Под ред. В.В. Федорова. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1901. - 44 с. : ил. ; 18 см. - (Народные чтения)",Общественное устройство,"Бахтиаров, Анатолий Александрович (1851-1916)",Редактор - Федоров В.В.,Как делают бумагу и как печатают книги,1901.0,,ил. ,44 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,
41.0,"Бертенсон Е., Русские богомольцы на Синае. Чтение 1 Чтение 2, Путь к Синаю Синай и его святыни / Сост. Екатериной Бертенсон. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1889. - 66, [1] с., 1 л. карт. ; 18 см",Духовное просвещение,"Бертенсон, Екатерина",,"Русские богомольцы на Синае. Чтение 1 Чтение 2, Путь к Синаю Синай и его святыни",1889.0,,1 ил. карта ,"66, [1] с.",Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
42.0,"Полилов Г.Т., Как перешла деревня на хуторское хозяйство : [Рассказ] / [Соч.] Г.Т. Северцова-Полилова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1908. - 32 с. ; 18 см",Общественное устройство,"Полилов, Георгий Тихонович (1859-1915)",,Как перешла деревня на хуторское хозяйство : Рассказ,1908.0,,,32 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
43.0,"Кологривов Ю.В., Волга : Сост. по Рагозину, Монастырскому и др. источникам Ю. Кологривовым. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1889. - 44 с., 1 л. карт. ; 19 см",География и путешествия,"Кологривов, Ю.В.",,"Волга : Сост. по Рагозину, Монастырскому и др. источникам Ю. Кологривовым",1889.0,,1 ил. карта ,44 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,На обл. авт. не указан
44.0,"Белозерская обитель и ее основатель преподобный Кирилл. - 2-е изд. - Санкт-Петербург : на средства Издат. о-ва при Постоян. комис. по устройству нар. чтений, 1895. - 40 с., 1 л. ил. ; 17 см",Духовное просвещение,,,Белозерская обитель и ее основатель преподобный Кирилл,1895.0,,1 ил.,40 с.,Санкт-Петербург ,"На средства Издат. о-ва при Постоян. комис. по устройству нар. чтений, ",2-е изд.,Загл. обл.: Кирилло-Белозерский монастырь
45.0,"Елецкий А., За Уралом : Повесть А. Елецкого. - Петроград : Постоян. комис. нар. чтений, 1916. - 48 с. ; 18 см",География и путешествия,"Елецкий, А.",,За Уралом : Повесть А. Елецкого,1916.0,,,48 с.,Петроград,Постоян. комис. нар. чтений ,,На обл.: № 313
46.0,"Супонев А.Н., Рассказы о севастопольцах / [Соч.] А.Н. Супонева. - 3-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1884. - 40 с., 1 л. ил. ; 21 см",География и путешествия,"Супонев, Авдей Николаевич (1838 — 1905)",,Рассказы о севастопольцах,1884.0,,1 ил.,40 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,3-е изд.,
47.0,"Враг : Рассказ из соврем. воен. жизни. - Петроград : Постоян. комис. нар. чтений, 1916. - 32 с. ; 19 см. - (Народные чтения ; № 319)",Беллетристика,,,Враг : Рассказ из соврем. воен. жизни,1916.0,,,32 с.,Петроград,Постоян. комис. нар. чтений ,,
48.0,"Сеткова А.П., Архангельские китоловы : Повесть А. Сетковой (Катенкамп). - 9-е изд., (55-56 тыс.). - Санкт-Петербург : Постоян. комис. нар. чтений, на средства Изд. о-ва, 1912. - 76 с. : ил. ; 17 см. - (Народные чтения)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Архангельские китоловы : Повесть,1912.0,,ил. ,76 с.,Санкт-Петербург ," Постоян. комис. нар. чтений, на средства Изд. о-ва, ","9-е изд., 55-56 тыс.",На обл. авт. не указан
49.0,"Тур Е., Житие преподобного отца нашего Ксенофонта, супруги его Марии и двух сыновей его Иоанна и Аркадия / Сост. Евгения Тур; С изображением преподобных, рис. проф. Ф.Г. Солнцевым. - 3-е изд. - Санкт-Петербург : на средства Изд. о-ва при ... Постоян. комис. по устройству нар. чтений, 1895. - 30 с., 1 л. фронт. (ил.) ; 18 см",Духовное просвещение,"Тур, Евгения (1815-1892)",,"Житие преподобного отца нашего Ксенофонта, супруги его Марии и двух сыновей его Иоанна и Аркадия",1895.0,"Иллюстратор - Солнцев, Ф.Г. ",1 ил.,30 с.,Санкт-Петербург ,На средства Изд. о-ва при Постоян. комис. по устройству нар. чтений,3-е изд.,
50.0,"Смирнов А. П., Быт и нравы киргизов / Сост. П.А.[!] Смирнов. - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1914. - 28 с. ; 18 см",География и путешествия,"Смирнов, Александр Платонович (1854-1900) ",,Быт и нравы киргизов,1914.0,,,28 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,4-е изд.,Детский писатель. На обл. номер изд.: № 108
51.0,"Петров П.И., Бельгия в ее прошлом и настоящем : Ист.-геогр. очерк / Сост. П.И. Петров. - Петроград : Постоян. комис. нар. чтений, 1916. - 48 с. : карт. ; 18 см. - (Народные чтения ; № 317)",География и путешествия,"Петров, П.И.",,Бельгия в ее прошлом и настоящем : Ист.-геогр. очерк,1916.0,,1 ил. карта ,48 с.,Петроград,Постоян. комис. нар. чтений ,,
52.0,"Рождественский С.Е., О Суворове : Чтение для народа / [Соч.] С. Рождественского. - 5-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1893. - 44 с., 1 л. портр. : портр. ; 21 см",Биография,"Рождественский, Сергей Егорович (1834-1891)",,О Суворове,1893.0,,1 ил. портрет,44 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,5-е изд.,
53.0,"Купец Иголкин и его подвиг : (Ист. быль времен Петра I). - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1881. - 27 с., 1 л. ил. : ил. ; 19 см. - (Народные чтения)",Беллетристика,,,Купец Иголкин и его подвиг : (Ист. быль времен Петра I),1881.0,,1 ил.,27 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,
54.0,"Макарова С.М., Полтава : Повесть в стихах Александра Сергеевича Пушкина : [Разбор] / Соч.] С. Макаровой. - Санкт-Петербург : Постоян. комис. нар. чтений, 1876. - [2], 44 с., 7 л. цв. ил. ; 21 см. - (Народные чтения)",Беллетристика,"Пушкин, Александр Сергеевич (1799-1837) ","Пересказала - Макарова, София Марковна (1834-1887)",Полтава : Поэма ,1876.0,,7 ил. цвет.,"[2], 44 с.",Санкт-Петербург ,Постоян. комис. нар. чтений ,,
55.0,"Рождественский С.Е., О Суворове : Чтение для народа / [Соч.] С. Рождественского. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1882. - 40 с., 1 л. цв. ил. : портр. ; 21 см",Биография,"Рождественский, Сергей Егорович (1834-1891)",,О Суворове,1882.0,,1 ил. цвет. портрет ,40 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,
56.0,"Сеткова А.П., Роковой клад : Повесть / [Соч.] А. Сетковой (Катенкамп). - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений (на средства Изд. о-ва), 1886. - 68 с., 1 л. ил. ; 18 см. - (Народные чтения)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Роковой клад : Повесть,1886.0,,1 ил.,68 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,2-е изд.,
57.0,"Масальский В.И., Как из семечка вырастет растение, как оно питается, как живет и чем полезно человеку / К.В.М. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1884. - 84 с., 1 л. ил. ; 19 см",Естествознание,"Масальский, Владислав Иванович (1859-)",,"Как из семечка вырастет растение, как оно питается, как живет и чем полезно человеку",1884.0,,1 ил.,84 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,Авт. установлен по одноимен. изд. 1914 г.
58.0,"Императрица Екатерина II Великая. - 5-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1904. - 38 с., 1 л. ил. ; 19 см",Биография,,,Императрица Екатерина II Великая,1904.0,,1 ил.,38 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,5-е изд.,
59.0,"Четыркин Ф.В., Святая Почаевская Успенская лавра / Сост. Ф. Четыркин. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1888. - 33 с., 1 л. ил",Духовное просвещение,"Четыркин, Федор Васильевич (1840-1904)",,Святая Почаевская Успенская лавра,1888.0,,,33 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,На обл. авт. не указан
60.0,"Елачич Е.А., ... Слоны, окапи, и их вымершие родичи : 2 очерка по палеонтологии : С 29 рис. в тексте / Евгений Елачич. - Санкт-Петербург : Постоян. комис. нар. чтений, 1909. - 40 с. : ил. ; 24 см",Естествознание,"Елачич, Евгений Александрович (1880-1945)",,"Слоны, окапи, и их вымершие родичи : 2 очерка по палеонтологии : С 29 рис. в тексте",1909.0,,ил. ,40 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 265
61.0,"Корольков Н.Ф., Новгород Великий : С прил. ""Краткого путеводителя по святыням и достопримечательностям Новгорода"" / Сост. Н.Ф. Корольков; Под ред. В.В. Федорова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1903. - 96 с. ; 18 см",География и путешествия,"Корольков, Николай Федорович","Редактор - Федоров В.В., Составитель - Корольков Н.Ф.","Новгород Великий : С прил. ""Краткого путеводителя по святыням и достопримечательностям Новгорода""",1903.0,,,96 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,Экз. РНБ (34.48.6.413): деф.: приложение отсутствует
62.0,"О древних египтянах и о земле египетской. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1896. - 39 с. ; 17 см",География и путешествия,,,О древних египтянах и о земле египетской,1896.0,,,39 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,Загл. обл.: Египет
63.0,"Святой Григорий Богослов / Под ред. прот. А.А. Дернова. - Петроград : Постоян. комис. нар. чтений, 1915. - 36 с. : ил",Духовное просвещение,,Редактор - протопресвитер Дернов А.А,Святой Григорий Богослов,1915.0,,,36 с.,Петроград,Постоян. комис. нар. чтений ,,На обл.: № 7
